,City Name,Temperature,Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
371,upernavik,33.65,72.79,-56.15,100.0,88,18.68
372,sadzhavka,44.6,48.57,24.79,100.0,0,2.24
373,poum,45.3,41.28,20.71,93.0,12,2.13
374,maniitsoq,31.4,65.42,-52.9,100.0,92,8.61
375,srednekolymsk,29.87,67.46,153.71,91.0,88,3.24
376,lasa,70.97,34.92,32.53,73.0,20,9.17
377,katherine,87.8,-14.47,132.26,31.0,0,9.17
379,canyon,62.49,34.98,-101.92,96.0,90,24.16
380,lorengau,83.69,-2.02,147.27,100.0,32,6.93
381,citta di castello,57.2,43.47,12.23,93.0,12,3.36
382,juan lacaze,69.02,-34.43,-57.44,47.0,0,11.41
383,salamina,66.2,5.41,-75.49,77.0,75,3.36
384,vredendal,57.32,-31.68,18.49,76.0,0,2.46
385,ilulissat,28.4,69.22,-51.1,63.0,20,11.41
386,kedrovyy,28.4,56.17,91.82,100.0,0,2.24
387,cervo,63.3,-22.19,-46.24,98.0,92,5.7
388,kabompo,74.19,-13.6,24.21,32.0,64,12.41
389,mumford,75.68,5.26,-0.76,96.0,76,6.15
390,tadine,74.24,-21.55,167.88,94.0,12,10.96
391,makakilo city,84.34,21.35,-158.09,59.0,90,6.93
392,sharan,31.31,33.15,68.78,73.0,0,2.24
393,hella,40.31,63.84,-20.4,100.0,88,6.04
394,yar-sale,37.92,66.83,70.83,100.0,88,16.78
395,planaltina,69.8,-15.62,-47.66,83.0,40,3.36
396,porgera,59.34,-5.46,143.15,95.0,92,2.68
397,wagar,82.2,31.44,-87.99,52.0,8,4.92
398,macas,68.34,-2.3,-78.12,85.0,32,2.57
399,tarko-sale,35.22,64.92,77.78,80.0,0,8.95
400,mineros,84.2,-17.12,-63.23,62.0,40,13.87
401,bodden town,82.4,19.28,-81.25,94.0,40,10.29
402,cuamba,59.66,-14.8,36.54,86.0,0,9.84
403,nanakuli,84.36,21.39,-158.15,82.0,75,9.17
404,coruripe,76.94,-10.12,-36.18,100.0,0,11.74
405,tessalit,67.31,20.2,1.01,22.0,0,8.39
406,kunmadaras,55.78,47.43,20.8,81.0,0,2.24
407,bocas del toro,81.84,9.33,-82.25,100.0,0,2.46
408,menongue,69.83,-14.66,17.68,23.0,8,4.7
409,kamen-na-obi,42.83,53.79,81.35,85.0,0,10.63
410,myre,26.6,62.25,17.37,92.0,24,2.24
411,ouadda,68.39,8.07,22.4,93.0,76,2.91
412,walvis bay,55.4,-22.95,14.51,93.0,0,6.93
413,cidreira,67.13,-30.17,-50.22,86.0,68,11.74
414,kiboga,62.99,0.92,31.77,95.0,24,5.82
415,behshahr,46.29,36.69,53.54,100.0,0,2.35
416,lusambo,73.07,-4.97,23.44,93.0,56,1.9
417,carndonagh,55.74,55.25,-7.27,94.0,92,25.5
418,aklavik,32.0,68.22,-135.01,91.0,20,10.29
419,dhidhdhoo,78.11,6.88,73.1,100.0,92,11.07
420,caidian,69.8,30.59,114.03,52.0,32,6.71
421,kamenka,47.69,53.19,44.05,64.0,0,17.67
422,acapulco,86.0,16.86,-99.88,74.0,40,5.82
423,santa isabel do rio negro,81.53,-0.41,-65.02,79.0,32,2.35
424,skagen,42.01,58.6,13.44,80.0,80,3.36
426,sabang,78.11,13.72,123.58,100.0,92,4.92
427,klaksvik,42.8,62.23,-6.59,75.0,92,14.99
429,dawson creek,31.1,55.76,-120.23,72.0,90,10.29
430,fairbanks,39.78,64.84,-147.72,18.0,1,5.59
431,tazovskiy,37.2,67.47,78.7,82.0,20,15.55
432,asyut,73.4,27.18,31.19,60.0,0,9.17
433,alice springs,86.0,-23.7,133.88,23.0,0,16.11
434,pisco,71.6,-13.71,-76.2,30.0,20,8.05
435,ampanihy,66.09,-24.69,44.75,87.0,0,10.96
436,benguela,69.83,-12.58,13.4,100.0,32,7.49
437,bara,74.78,10.41,10.6,71.0,20,2.68
438,nyurba,33.24,63.29,118.35,96.0,64,3.58
439,marsh harbour,83.15,26.54,-77.06,98.0,12,19.13
440,waitati,50.34,-45.75,170.57,80.0,32,3.24
441,yagodnoye,23.93,62.52,149.63,91.0,80,3.02
442,rosetown,49.85,51.55,-107.99,53.0,24,3.58
443,coihaique,44.35,-45.58,-72.07,55.0,40,3.36
444,la libertad,64.4,-16.38,-71.56,20.0,75,8.05
445,anadyr,46.4,64.73,177.51,87.0,90,8.95
446,nampula,64.65,-15.12,39.26,83.0,20,7.38
447,lashio,65.24,22.93,97.75,99.0,88,2.35
448,xacmaz,48.68,41.46,48.81,88.0,0,7.16
449,santa cruz del sur,78.65,20.71,-78.0,89.0,92,6.15
450,bosaso,80.85,11.28,49.18,100.0,0,4.14
453,talcahuano,51.8,-36.72,-73.12,93.0,90,19.46
454,kato mazarakion,65.21,38.07,21.65,100.0,40,2.68
455,tigil,46.07,57.8,158.67,81.0,88,8.95
456,gat,81.75,14.69,-16.54,79.0,0,9.28
457,tateyama,66.2,36.66,137.31,88.0,75,4.7
458,varnavino,39.54,61.19,46.56,99.0,80,2.8
459,juba,39.2,57.82,26.93,86.0,75,6.93
460,nicolas bravo,71.6,24.39,-104.74,43.0,90,14.99
461,flin flon,28.4,54.77,-101.88,86.0,90,8.05
462,rocky mountain house,43.37,52.38,-114.92,52.0,56,2.68
463,tual,80.67,-5.67,132.75,99.0,0,10.4
464,canutama,84.27,-6.53,-64.38,74.0,24,2.24
